id,question_stem,choices,urdu_question_stem,urdu_choices,answerKey
1875,Which would be the result of the breeding of two wolves?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['kittens', 'wolf pups', 'fox pups', 'dog pups'], dtype=object)}",دو بھیڑیوں کی افزائش نسل کا نتیجہ کیا ہوگا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بلی کے بچے', 'بھیڑیے کے بچے', 'لومڑی کے بچے', 'کتے کے پلے'],
      dtype=object)}",B
7-678,Scales,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['measure how much belly fat the user has',
       'measure height of the user',
       'help users know if they need to drop some lbs.',
       'help users determine their blood sugar levels'], dtype=object)}",اسکیلز,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['صارف کے پیٹ کی چربی کی پیمائش کرتے ہیں',
       'صارف کے قد کی پیمائش کرتے ہیں',
       'صارفین کو یہ جاننے میں مدد کرتے ہیں کہ انہیں وزن کم کرنے کی ضرورت ہے',
       'صارفین کو اپنے خون میں شوگر کی سطح کا تعین کرنے میں مدد کرتے ہیں'],
      dtype=object)}",C
7-156,"When producers create food in an ecosystem, a portion of the nutrients are","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['carbs', 'energy', 'grass', 'flowers'], dtype=object)}",جب ایک ماحولیاتی نظام میں پیدا کرنے والے (producers) خوراک بناتے ہیں، تو غذائی اجزاء کا ایک حصہ...,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کاربوہائیڈریٹس', 'توانائی', 'گھاس', 'پھول'], dtype=object)}",A
9-441,Two ships grazing each other as they pass will,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['cause mayhem', 'sink them', 'speed them up', 'slow them down'],
      dtype=object)}",ایک دوسرے سے رگڑ کھاتے ہوئے گزرنے والے دو بحری جہاز,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['تباہی کا باعث بنیں گے', 'ڈوب جائیں گے', 'تیز ہو جائیں گے',
       'سست ہو جائیں گے'], dtype=object)}",D
278,A battery converts chemical energy into,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['energy stored due to the relative positions of charged particles or electric fields',
       'energy stored due to the bombardment of particles',
       'energy stored between the cells of nonadjacent particles',
       'energy that is broken down in particles'], dtype=object)}",ایک بیٹری کیمیائی توانائی کو تبدیل کرتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایسی توانائی میں جو چارج شدہ ذرات یا برقی میدانوں کی نسبتی پوزیشنوں کی وجہ سے ذخیرہ ہوتی ہے',
       'ذرات کی بمباری کی وجہ سے ذخیرہ ہونے والی توانائی میں',
       'غیر متصل ذرات کے خلیوں کے درمیان ذخیرہ ہونے والی توانائی میں',
       'ایسی توانائی میں جو ذرات میں ٹوٹ جاتی ہے'], dtype=object)}",A
9-373,The leaves of a plant benefit from?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['dog', 'sun', 'human', 'dust'], dtype=object)}",پودے کے پتوں کو کس چیز سے فائدہ ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کتا', 'سورج', 'انسان', 'دھول'], dtype=object)}",B
7-16,Quartz may produce rainbows when light is shined,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array([""around the crystal's area"", 'through any of its sides',
       'in the room its in', 'in to a mirror at it'], dtype=object)}",کوارٹز سے دھنک بن سکتی ہے اگر روشنی...,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کرسٹل کے ارد گرد چمکے', 'اس کے کسی بھی رخ سے گزرے',
       'اس کمرے میں ہو جس میں وہ ہے', 'آئینے سے منعکس ہو کر اس پر پڑے'],
      dtype=object)}",B
8-264,"A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the mountain used to be underwater',
       'some bears in mountains eat fish',
       'some fish can climb mountains',
       'sometimes rain can move fish to high spaces'], dtype=object)}",ایک عورت ایک اونچے پہاڑ پر درخت کے نیچے کھدائی کر رہی ہے۔ وہ دلچسپ پتھروں کی تلاش میں ہے، اور مٹی میں ایک فٹ نیچے، اسے مچھلی کا ایک فوسل شدہ ڈھانچہ ملتا ہے۔ اس دریافت سے، عورت یہ نتیجہ اخذ کر سکتی ہے کہ,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['یہ پہاڑ پہلے پانی کے اندر تھا',
       'پہاڑوں میں رہنے والے کچھ ریچھ مچھلیاں کھاتے ہیں',
       'کچھ مچھلیاں پہاڑوں پر چڑھ سکتی ہیں',
       'کبھی کبھی بارش مچھلیوں کو اونچی جگہوں پر لے جا سکتی ہے'],
      dtype=object)}",A
814,Which animal lacks the ability to see by sensing light?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Southern cave crayfish', 'lobster', 'cod', 'salmon'], dtype=object)}",کون سا جانور روشنی کو محسوس کر کے دیکھنے کی صلاحیت نہیں رکھتا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جنوبی غار کی کریفش', 'لوبسٹر', 'کاڈ', 'سالمون'], dtype=object)}",A
9-1116,Which animal emits something that many autistic people would be extra sensitive to?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['cow', 'dog', 'cat', 'skunk'], dtype=object)}",کون سا جانور ایسی چیز خارج کرتا ہے جس سے بہت سے آٹسٹک لوگ خاص طور پر حساس ہو سکتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گائے', 'کتا', 'بلی', 'اسکنک'], dtype=object)}",D
9-218,which of these usually occur over the shortest period?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a super size earthquake', 'a torrential rain fall',
       'all of these', 'the eruption of a volcano'], dtype=object)}",ان میں سے کون سا عام طور پر سب سے مختصر مدت کے لیے ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک بہت بڑا زلزلہ', 'موسلادھار بارش', 'یہ تمام',
       'آتش فشاں کا پھٹنا'], dtype=object)}",A
9-200,If the sun has set it is,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['easy to cook a meal', 'time to eat breakfast',
       'necessary to wear a coat', 'harder to see outside'], dtype=object)}",اگر سورج غروب ہو گیا ہے تو,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کھانا پکانا آسان ہو جاتا ہے', 'ناشتے کا وقت ہوتا ہے',
       'کوٹ پہننا ضروری ہو جاتا ہے', 'باہر دیکھنا مشکل ہو جاتا ہے'],
      dtype=object)}",D
7-282,A magnifying glass,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['would allow the user to better view the legs on an ant',
       'would enhance the smell of a viewed specimen',
       'would blur the legs of an ant',
       'would enhance the feel of the user'], dtype=object)}",ایک محدب عدسہ,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['صارف کو چیونٹی کی ٹانگیں بہتر طور پر دیکھنے میں مدد دے گا',
       'دیکھے جانے والے نمونے کی بو کو بڑھا دے گا',
       'چیونٹی کی ٹانگوں کو دھندلا کر دے گا',
       'صارف کے احساس کو بڑھا دے گا'], dtype=object)}",A
9-207,What do rotating vanes on an electric fan do to air?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['dampen', 'circulate', 'cool', 'warm'], dtype=object)}",بجلی کے پنکھے کے گھومنے والے پر ہوا کو کیا کرتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نم کرتے ہیں', 'گردش کراتے ہیں', 'ٹھنڈا کرتے ہیں', 'گرم کرتے ہیں'],
      dtype=object)}",B
8-408,An animal would have its inner parts better protected if it had which of these?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a backpack on its back', 'a calcium fortified internal structure',
       'none of these', 'a shell of cotton'], dtype=object)}",ان میں سے کس چیز سے ایک جانور کے اندرونی اعضاء کی بہتر حفاظت ہوگی؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اس کی پیٹھ پر ایک بیگ', 'کیلشیم سے مضبوط اندرونی ڈھانچہ',
       'ان میں سے کوئی نہیں', 'روئی کا خول'], dtype=object)}",B
1891,Plants require this to grow,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['fertilizer', 'cool temperatures', 'non-organic matter', 'H2O'],
      dtype=object)}",پودوں کو بڑھنے کے لیے اس کی ضرورت ہوتی ہے۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کھاد', 'ٹھنڈا درجہ حرارت', 'غیر نامیاتی مادہ', 'H2O'],
      dtype=object)}",D
7-969,Renewable resources,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['often come from fossil fuels', 'take centuries to biodegrade',
       'can be used ad infinitum', 'should be used conservatively'],
      dtype=object)}",قابل تجدید وسائل,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اکثر فوسل فیول سے حاصل ہوتے ہیں',
       'بایوڈیگریڈ ہونے میں صدیاں لگتی ہیں',
       'لامتناہی طور پر استعمال کیے جا سکتے ہیں',
       'احتیاط سے استعمال کیا جانا چاہیے'], dtype=object)}",C
8-124,a day hiking will most likely result in which of these?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a paling of the skin', 'a greening of the skin',
       'an even darker tone', 'none of these'], dtype=object)}",دن بھر کی ہائیکنگ کے نتیجے میں غالباً ان میں سے کیا ہوگا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جلد کا رنگ پھیکا پڑنا', 'جلد کا سبز ہو جانا',
       'رنگت کا مزید گہرا ہو جانا', 'ان میں سے کوئی نہیں'], dtype=object)}",C
1288,Refraction,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['makes objects appear to be twice their size',
       'moves heat energy thru sound waves',
       'is the phenomenon involved in mirrors',
       'makes a straw appear broken when in a cup of water'], dtype=object)}",انعطافِ نور,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['چیزوں کو ان کی جسامت سے دوگنا دکھاتا ہے',
       'حرارتی توانائی کو آواز کی لہروں کے ذریعے منتقل کرتا ہے',
       'وہ عمل ہے جو آئینوں میں ہوتا ہے',
       'پانی کے کپ میں اسٹرا کو ٹوٹا ہوا دکھاتا ہے'], dtype=object)}",D
9-836,which of these can be considered a stage in the water cycle?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['all of these', 'the combination of nails and hammers',
       'the presence of H20', 'the combination of chlorine and gas'],
      dtype=object)}",ان میں سے کسے آبی چکر کا ایک مرحلہ سمجھا جا سکتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['یہ تمام', 'کیلوں اور ہتھوڑوں کا امتزاج', 'H2O کی موجودگی',
       'کلورین اور گیس کا امتزاج'], dtype=object)}",C
9-725,Which of these items is required for a deer to live,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['sun', 'iron', 'sand', 'cafeteria'], dtype=object)}",ہرن کو زندہ رہنے کے لیے ان میں سے کون سی چیز ضروری ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سورج', 'لوہا', 'ریت', 'کیفے ٹیریا'], dtype=object)}",A
9-973,Where is the best place to shoot animals?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['national park', 'sky', 'forest', 'sea'], dtype=object)}",جانوروں کا شکار کرنے کے لیے بہترین جگہ کون سی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['قومی پارک', 'آسمان', 'جنگل', 'سمندر'], dtype=object)}",C
7-892,Spiders can catch prey by doing all aside from,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['building webs', 'building traps', 'hunting', 'howling'],
      dtype=object)}",مکڑیاں سوائے کس عمل کے، باقی تمام طریقوں سے شکار پکڑ سکتی ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جال بنانا', 'پھندے بنانا', 'شکار کرنا', 'چیخنا'], dtype=object)}",D
112,When does electricity flow through a conductor?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array([""when it's outside around lighting"",
       ""when it's attached to a battery"", ""when it's attached to a human"",
       ""when it's near a light bulb""], dtype=object)}",ایک موصل (conductor) سے بجلی کب گزرتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جب یہ باہر آسمانی بجلی کے قریب ہو', 'جب یہ ایک بیٹری سے جڑا ہو',
       'جب یہ ایک انسان سے جڑا ہو', 'جب یہ ایک بلب کے قریب ہو'],
      dtype=object)}",B
